row_id,day_hour,ip,no_put,no_post,no_head
0,01-22-2019 03,34.247.132.53,8,0,0
1,01-22-2019 03,54.36.148.32,1,0,0
2,01-22-2019 03,54.36.149.35,4,0,0
3,01-22-2019 03,66.111.54.249,383,0,0
4,01-22-2019 03,178.253.33.51,58,0,0
5,01-22-2019 03,54.36.148.117,5,0,0
6,01-22-2019 03,54.36.149.58,1,0,0
7,01-22-2019 03,5.160.157.20,7,0,0
8,01-22-2019 03,207.46.13.136,96,0,0
9,01-22-2019 03,54.36.149.63,16,0,0
10,01-22-2019 03,54.36.148.18,7,0,0
11,01-22-2019 03,54.36.149.17,2,0,0
12,01-22-2019 03,5.62.206.249,21,0,0
13,01-22-2019 03,2.179.141.98,28,35,0
14,01-22-2019 03,204.18.198.248,87,0,0
15,01-22-2019 03,54.36.149.41,2,0,0
16,01-22-2019 03,51.15.15.54,13,0,0
17,01-22-2019 03,66.249.66.194,305,0,0
18,01-22-2019 03,2.185.221.79,10,0,0
19,01-22-2019 03,66.249.66.91,236,0,0
20,01-22-2019 03,2.177.12.140,124,0,0
21,01-22-2019 03,207.46.13.115,111,0,0
22,01-22-2019 03,54.36.148.17,5,0,0
23,01-22-2019 03,54.36.149.92,33,0,0
24,01-22-2019 03,157.55.39.245,28,0,0
25,01-22-2019 03,207.46.13.104,110,0,0
26,01-22-2019 03,54.36.148.10,2,0,0
27,01-22-2019 03,54.36.149.70,10,0,0
28,01-22-2019 03,5.112.52.254,20,0,0
29,01-22-2019 03,91.99.72.15,170,0,0
30,01-22-2019 03,89.199.193.251,31,0,0
31,01-22-2019 03,31.56.96.51,204,0,0
32,01-22-2019 03,5.209.200.218,285,0,0
33,01-22-2019 03,54.36.148.87,15,0,0
34,01-22-2019 03,172.20.2.174,24,0,0
35,01-22-2019 03,104.194.24.33,5,0,0
36,01-22-2019 03,46.224.77.32,23,0,0
37,01-22-2019 03,54.36.148.161,10,0,0
38,01-22-2019 03,17.58.102.43,61,0,0
39,01-22-2019 03,66.249.64.66,6,0,0
40,01-22-2019 03,5.78.180.75,7,0,0
41,01-22-2019 03,173.249.54.67,54,0,0
42,01-22-2019 03,5.211.97.39,241,0,28
43,01-22-2019 03,54.36.148.232,6,0,0
44,01-22-2019 03,40.77.167.129,138,0,0
45,01-22-2019 03,5.78.198.52,49,60,0
46,01-22-2019 04,54.36.149.36,3,0,0
47,01-22-2019 04,207.46.13.116,7,9,20
48,01-22-2019 04,54.36.149.59,0,5,0
49,01-22-2019 04,5.209.200.219,119,49,62
50,01-22-2019 04,54.36.148.19,0,20,0
51,01-22-2019 04,54.36.148.18,0,12,0
52,01-22-2019 04,5.112.52.255,0,5,12
53,01-22-2019 04,66.249.66.195,138,42,97
