row_id,day_hour,no_of_clients,no_put,no_post,no_head
0,01-22-2019 03,45,290,11,4
1,01-22-2019 04,46,293,310,307
2,01-22-2019 05,46,299,304,303
3,01-22-2019 06,46,301,305,303
4,01-22-2019 07,46,307,296,304
5,01-22-2019 08,46,303,301,306
6,01-22-2019 09,46,307,308,303
7,01-22-2019 10,46,302,294,303
8,01-22-2019 11,46,300,306,301
9,01-22-2019 12,46,301,301,307
10,01-22-2019 13,46,299,301,296
11,01-22-2019 14,46,295,296,301
12,01-22-2019 15,46,299,297,301
13,01-22-2019 16,46,308,305,307
14,01-22-2019 17,46,307,306,304
15,01-22-2019 18,46,305,304,305
16,01-22-2019 19,46,305,301,306
17,01-22-2019 20,46,308,303,302
18,01-22-2019 21,46,312,303,301
19,01-22-2019 22,46,303,306,307
20,01-22-2019 23,46,307,304,308
21,01-23-2019 00,46,302,311,298
22,01-23-2019 01,46,311,308,300
23,01-23-2019 02,46,304,307,296
24,01-23-2019 03,46,304,304,307
25,01-23-2019 04,46,305,304,305
26,01-23-2019 05,46,299,302,304
27,01-23-2019 06,46,306,301,314
28,01-23-2019 07,46,304,303,301
29,01-23-2019 08,46,299,307,308
30,01-23-2019 09,46,306,305,301
31,01-23-2019 10,46,306,304,305
32,01-23-2019 11,46,298,306,295
33,01-23-2019 12,46,308,306,307
34,01-23-2019 13,46,300,306,303
35,01-23-2019 14,46,302,305,305
36,01-23-2019 15,46,303,305,297
37,01-23-2019 16,46,305,300,301
38,01-23-2019 17,46,310,306,291
39,01-23-2019 18,46,301,308,301
40,01-23-2019 19,46,299,304,306
41,01-23-2019 20,46,301,309,305
42,01-23-2019 21,46,303,306,304
43,01-23-2019 22,46,304,307,309
44,01-23-2019 23,46,303,303,305
45,01-24-2019 00,46,303,306,305
46,01-24-2019 01,46,301,299,303
47,01-24-2019 02,46,300,300,299
48,01-24-2019 03,46,298,308,305
49,01-24-2019 04,46,306,303,306
50,01-24-2019 05,46,307,302,303
51,01-24-2019 06,46,301,303,304
52,01-24-2019 07,46,299,306,304
53,01-24-2019 08,46,303,299,297
54,01-24-2019 09,46,303,306,299
55,01-24-2019 10,46,304,308,303
56,01-24-2019 11,46,305,303,303
57,01-24-2019 12,46,308,301,300
58,01-24-2019 13,46,300,305,300
59,01-24-2019 14,46,301,303,304
60,01-24-2019 15,46,306,302,304
61,01-24-2019 16,46,309,302,308
62,01-24-2019 17,46,307,303,302
63,01-24-2019 18,46,298,299,297
64,01-24-2019 19,46,308,301,298
65,01-24-2019 20,46,307,303,309
66,01-24-2019 21,46,312,306,305
67,01-24-2019 22,46,302,305,304
68,01-24-2019 23,46,307,309,301
